"modelo","familia","estadistico","observado","pred_mediana","pred_ICr95_inferior","pred_ICr95_superior","observado_fuera_ICr95"
"negbin_no_ajustado","Binomial negativa","frecuencia_valor_8",0.1178094131319,0.084253341080767,0.0781522370714701,0.0909355026147589,TRUE
"negbin_no_ajustado","Binomial negativa","frecuencia_valor_12",0.0117664148750726,0.0149622312608948,0.0120569436374201,0.0180127832655433,TRUE
"negbin_ajustado","Binomial negativa","media",5.71472303206997,5.71625364431487,5.62998177842566,5.80393950437318,FALSE
"negbin_ajustado","Binomial negativa","varianza",7.67585843034858,8.00660338802799,7.60323154400785,8.46451563500872,FALSE
"negbin_ajustado","Binomial negativa","proporcion_cero",0.0271137026239067,0.00830903790087464,0.00612244897959184,0.0106413994169096,TRUE
"negbin_ajustado","Binomial negativa","proporcion_predicha_negativa",0,0,0,0,FALSE
"negbin_ajustado","Binomial negativa","minimo",0,0,0,0,FALSE
"negbin_ajustado","Binomial negativa","maximo",20,20,18,24,FALSE
"negbin_ajustado","Binomial negativa","cuantil_0.01",0,1,0,1,FALSE
"negbin_ajustado","Binomial negativa","cuantil_0.05",1,2,2,2,TRUE
"negbin_ajustado","Binomial negativa","cuantil_0.25",4,4,4,4,FALSE
"negbin_ajustado","Binomial negativa","cuantil_0.5",6,5,5,6,FALSE
"negbin_ajustado","Binomial negativa","cuantil_0.75",8,7,7,8,FALSE
"negbin_ajustado","Binomial negativa","cuantil_0.95",10,11,11,11,TRUE
"negbin_ajustado","Binomial negativa","cuantil_0.99",13,13.4099999999999,13,14,FALSE
"negbin_ajustado","Binomial negativa","frecuencia_valor_5",0.163411078717201,0.14533527696793,0.137022594752187,0.153801020408163,TRUE
"negbin_ajustado","Binomial negativa","frecuencia_valor_8",0.117930029154519,0.0842565597667638,0.0774052478134111,0.0912572886297376,TRUE
"negbin_ajustado","Binomial negativa","frecuencia_valor_12",0.0118075801749271,0.0151603498542274,0.0122448979591837,0.0180758017492711,TRUE
